frame_index,time_min,bacteria_count,total_bacteria_area_px,mean_bacteria_area_px,tracks_active,mean_speed_um_per_min
347,347.0,9,1698,188.66666666666666,9,1.7131713628887912
348,348.0,9,1694,188.22222222222223,9,2.8586756941980105
349,349.0,9,1714,190.44444444444446,9,3.163413474130925
350,350.0,9,1708,189.77777777777777,9,3.4434411462268995
351,351.0,9,1706,189.55555555555554,9,0.003397449140270112
352,352.0,9,1705,189.44444444444446,9,3.162844483700548
353,353.0,9,1665,185.0,9,3.6672758950664255
354,354.0,9,1712,190.22222222222223,9,3.022820932371439
355,355.0,9,1652,183.55555555555554,9,3.178699204215481
356,356.0,9,1617,179.66666666666666,9,3.8830906837268935
357,357.0,9,1619,179.88888888888889,9,0.02253516544729726
358,358.0,8,1581,197.625,8,3.5356611772367215
359,359.0,9,1604,178.22222222222223,9,4.523576024093702
360,360.0,9,1621,180.11111111111111,9,3.6370045895625633
361,361.0,8,1725,215.625,8,3.2864433190742455
362,362.0,9,1612,179.11111111111111,9,3.4072948635349234
363,363.0,9,1611,179.0,9,0.07054019655685234
364,364.0,9,1566,174.0,9,3.974940442928024
365,365.0,9,1568,174.22222222222223,9,4.913581221249675
366,366.0,9,1576,175.11111111111111,9,4.366547214428407
367,367.0,8,1671,208.875,8,3.9948010541111465
368,368.0,7,1737,248.14285714285714,7,3.0207045357347875
369,369.0,7,1742,248.85714285714286,7,0.015361576828130582
370,370.0,8,1709,213.625,8,3.1129262588284794
371,371.0,8,1737,217.125,8,3.89557848627812
372,372.0,8,1696,212.0,8,3.4663458327427548
373,373.0,9,1629,181.0,9,3.6890283983777534
374,374.0,8,1657,207.125,8,3.733917468702015
375,375.0,8,1651,206.375,8,0.03253638231537269
376,376.0,8,1670,208.75,8,2.657555387261859
377,377.0,8,1655,206.875,8,3.277923579086303
378,378.0,8,1679,209.875,8,3.723793684681456
379,379.0,7,1665,237.85714285714286,7,2.976101984121103
380,380.0,7,1702,243.14285714285714,7,2.2063943021263928
381,381.0,7,1701,243.0,7,0.018736691036109136
382,382.0,7,1693,241.85714285714286,7,1.2768529812918814
383,383.0,7,1697,242.42857142857142,7,1.352686502387535
384,384.0,7,1710,244.28571428571428,7,1.8936208515716757
385,385.0,7,1767,252.42857142857142,7,1.5654487064328784
386,386.0,7,1755,250.71428571428572,7,1.2184848914144715
387,387.0,7,1755,250.71428571428572,7,0.048492263728592146
388,388.0,7,1677,239.57142857142858,7,2.0715034848562914
389,389.0,7,1669,238.42857142857142,7,2.42711041690529
390,390.0,7,1687,241.0,7,0.9856868463847458
391,391.0,7,1630,232.85714285714286,7,1.444228657940234
392,392.0,7,1685,240.71428571428572,7,2.5646739606304183
393,393.0,7,1695,242.14285714285714,7,0.030506288703034797
394,394.0,7,1618,231.14285714285714,7,1.664231796287726
395,395.0,7,1612,230.28571428571428,7,2.234724233450637
396,396.0,6,1534,255.66666666666666,6,1.175310481616415
397,397.0,8,1512,189.0,8,1.80918597840493
398,398.0,7,1529,218.42857142857142,7,1.9173039093974384
399,399.0,7,1527,218.14285714285714,7,0.10402273047114426
400,400.0,7,1561,223.0,7,1.647686879161985
401,401.0,7,1537,219.57142857142858,7,1.4175568229419322
402,402.0,8,1537,192.125,8,2.710446529945581
403,403.0,8,1485,185.625,8,2.739611164347078
404,404.0,8,1484,185.5,8,2.6944729246807735
405,405.0,9,1554,172.66666666666666,9,2.0352768329777375
406,406.0,9,1554,172.66666666666666,9,0.031901866839788705
407,407.0,9,1557,173.0,9,2.6730630023654487
408,408.0,9,1547,171.88888888888889,9,3.2910321922639016
409,409.0,9,1562,173.55555555555554,9,3.1667751123674055
410,410.0,9,1610,178.88888888888889,9,3.573292006485875
411,411.0,9,1615,179.44444444444446,9,3.760811529526738
412,412.0,9,1616,179.55555555555554,9,0.02712093108016668
413,413.0,9,1570,174.44444444444446,9,3.8481530239681763
414,414.0,9,1557,173.0,9,3.820316926559388
415,415.0,9,1530,170.0,9,3.7896657234449673
416,416.0,9,1534,170.44444444444446,9,3.674271604738246
417,417.0,9,1541,171.22222222222223,9,3.8319528141245365
418,418.0,9,1537,170.77777777777777,9,0.059880935862297244
419,419.0,9,1539,171.0,9,3.240426727750064
420,420.0,9,1558,173.11111111111111,9,4.424625702785594
421,421.0,9,1550,172.22222222222223,9,3.3605870255379875
422,422.0,9,1590,176.66666666666666,9,2.9030519993633366
423,423.0,9,1573,174.77777777777777,9,2.4699041905460684
424,424.0,9,1573,174.77777777777777,9,0.03051443825807887
425,425.0,9,1565,173.88888888888889,9,2.9499634227892497
426,426.0,9,1564,173.77777777777777,9,2.66280496927214
427,427.0,8,1655,206.875,8,2.1222631942476675
428,428.0,8,1660,207.5,8,2.012004578310736
429,429.0,8,1613,201.625,8,2.3181768602099266
430,430.0,8,1617,202.125,8,0.014044370438791214
431,431.0,8,1539,192.375,8,1.2680301202608544
432,432.0,8,1531,191.375,8,1.0990227064414646
433,433.0,8,1498,187.25,8,1.3943304542665842
434,434.0,8,1488,186.0,8,1.5775438893184581
435,435.0,8,1477,184.625,8,1.3246494667191657
436,436.0,8,1477,184.625,8,0.0
437,437.0,8,1485,185.625,8,0.8784512207256308
438,438.0,8,1499,187.375,8,1.5559085567727042
439,439.0,8,1554,194.25,8,1.3682294699506676
440,440.0,8,1486,185.75,8,1.5600179531789058
441,441.0,8,1477,184.625,8,1.2756172021248209
442,442.0,8,1479,184.875,8,0.09473823472786222
443,443.0,8,1488,186.0,8,1.3896487951410637
444,444.0,8,1536,192.0,8,1.4709615109239342
445,445.0,8,1564,195.5,8,2.1396410628536264
446,446.0,8,1573,196.625,8,3.639793959376902
447,447.0,8,1615,201.875,8,3.9264436678929675
448,448.0,8,1611,201.375,8,0.04032462271776434
449,449.0,8,1582,197.75,8,2.366244611642107
450,450.0,8,1499,187.375,8,2.1476328436775693
451,451.0,7,1509,215.57142857142858,7,1.9655872710771618
452,452.0,7,1494,213.42857142857142,7,1.8683728240642126
453,453.0,8,1507,188.375,8,1.8353523825992968
454,454.0,8,1507,188.375,8,0.0
455,455.0,8,1650,206.25,8,2.3510982574313855
456,456.0,7,1704,243.42857142857142,7,2.472472303036647
457,457.0,7,1686,240.85714285714286,7,1.9248365295839023
458,458.0,9,1633,181.44444444444446,9,2.6395352526067506
459,459.0,8,1621,202.625,8,2.844335461406901
460,460.0,8,1616,202.0,8,0.0111524276819642
461,461.0,8,1566,195.75,8,2.4914021156294344
462,462.0,9,1571,174.55555555555554,9,2.080437973296953
463,463.0,8,1573,196.625,8,2.0161140958520196
464,464.0,7,1628,232.57142857142858,7,1.3744011268067422
465,465.0,7,1636,233.71428571428572,7,1.8266547865141465
466,466.0,7,1636,233.71428571428572,7,0.05195923061639205
467,467.0,8,1640,205.0,8,0.6091878617766919
468,468.0,8,1610,201.25,8,1.9095366522727026
469,469.0,8,1642,205.25,8,2.3001412568715205
470,470.0,8,1625,203.125,8,1.6502274358374005
471,471.0,8,1640,205.0,8,1.9749938493599835
472,472.0,8,1639,204.875,8,0.01025504621216653
473,473.0,8,1679,209.875,8,2.0786966830462723
474,474.0,8,1612,201.5,8,1.6698778358891844
475,475.0,8,1658,207.25,8,1.2668657020217082
476,476.0,8,1641,205.125,8,1.2545159475006287
477,477.0,8,1639,204.875,8,1.0372321010787346
478,478.0,8,1635,204.375,8,0.0644239740084751
479,479.0,8,1625,203.125,8,1.4430337782821039
480,480.0,8,1630,203.75,8,2.4002549712031858
481,481.0,8,1640,205.0,8,2.136297320125643
482,482.0,8,1656,207.0,8,1.5224539117331681
483,483.0,8,1652,206.5,8,2.2127975373008124
484,484.0,8,1652,206.5,8,0.0
485,485.0,8,1649,206.125,8,1.8488854381696485
486,486.0,8,1680,210.0,8,3.020203311254825
487,487.0,8,1653,206.625,8,2.7564732813840434
488,488.0,8,1644,205.5,8,1.9280355877189161
489,489.0,8,1648,206.0,8,1.6419833248641216
490,490.0,8,1646,205.75,8,0.011623421679231362
491,491.0,8,1653,206.625,8,1.5610399356547398
492,492.0,8,1616,202.0,8,1.2522627327887952
493,493.0,8,1528,191.0,8,1.3064728378903192
494,494.0,9,1504,167.11111111111111,9,1.9981600103977737
495,495.0,9,1546,171.77777777777777,9,2.02660871205261
496,496.0,9,1545,171.66666666666666,9,0.013475979602737605
497,497.0,10,1551,155.1,10,2.0742685995481853
498,498.0,10,1565,156.5,10,3.139890496362093
499,499.0,10,1627,162.7,10,4.279268199274377
500,500.0,10,1641,164.1,10,3.919860942345507
