frame,time_min,object_count,mean_area_px,total_area_px,object_density_per_px2,mean_area_um2,total_area_um2,object_count_growth_per_min,total_area_growth_um2_per_min
232,232.0,8,230.75,1846,8.680555555555556e-06,230.75,1846.0,-1.0,-9.0
233,233.0,8,239.0,1912,8.680555555555556e-06,239.0,1912.0,0.0,66.0
234,234.0,9,208.55555555555554,1877,9.765625e-06,208.55555555555554,1877.0,1.0,-35.0
235,235.0,9,212.66666666666666,1914,9.765625e-06,212.66666666666666,1914.0,0.0,37.0
236,236.0,9,213.0,1917,9.765625e-06,213.0,1917.0,0.0,3.0
237,237.0,9,213.0,1917,9.765625e-06,213.0,1917.0,0.0,0.0
238,238.0,8,245.125,1961,8.680555555555556e-06,245.125,1961.0,-1.0,44.0
239,239.0,8,250.875,2007,8.680555555555556e-06,250.875,2007.0,0.0,46.0
240,240.0,8,238.25,1906,8.680555555555556e-06,238.25,1906.0,0.0,-101.0
241,241.0,9,215.44444444444446,1939,9.765625e-06,215.44444444444446,1939.0,1.0,33.0
242,242.0,9,203.44444444444446,1831,9.765625e-06,203.44444444444446,1831.0,0.0,-108.0
243,243.0,9,203.55555555555554,1832,9.765625e-06,203.55555555555554,1832.0,0.0,1.0
244,244.0,9,208.11111111111111,1873,9.765625e-06,208.11111111111111,1873.0,0.0,41.0
245,245.0,11,164.63636363636363,1811,1.193576388888889e-05,164.63636363636363,1811.0,2.0,-62.0
246,246.0,8,230.875,1847,8.680555555555556e-06,230.875,1847.0,-3.0,36.0
247,247.0,8,244.5,1956,8.680555555555556e-06,244.5,1956.0,0.0,109.0
248,248.0,7,277.14285714285717,1940,7.595486111111111e-06,277.14285714285717,1940.0,-1.0,-16.0
249,249.0,7,277.2857142857143,1941,7.595486111111111e-06,277.2857142857143,1941.0,0.0,1.0
250,250.0,8,230.375,1843,8.680555555555556e-06,230.375,1843.0,1.0,-98.0
251,251.0,6,303.3333333333333,1820,6.510416666666667e-06,303.3333333333333,1820.0,-2.0,-23.0
252,252.0,8,221.125,1769,8.680555555555556e-06,221.125,1769.0,2.0,-51.0
253,253.0,6,298.1666666666667,1789,6.510416666666667e-06,298.1666666666667,1789.0,-2.0,20.0
254,254.0,5,359.8,1799,5.4253472222222224e-06,359.8,1799.0,-1.0,10.0
255,255.0,5,360.0,1800,5.4253472222222224e-06,360.0,1800.0,0.0,1.0
256,256.0,5,340.0,1700,5.4253472222222224e-06,340.0,1700.0,0.0,-100.0
257,257.0,5,356.0,1780,5.4253472222222224e-06,356.0,1780.0,0.0,80.0
258,258.0,5,368.2,1841,5.4253472222222224e-06,368.2,1841.0,0.0,61.0
259,259.0,6,304.8333333333333,1829,6.510416666666667e-06,304.8333333333333,1829.0,1.0,-12.0
260,260.0,6,303.6666666666667,1822,6.510416666666667e-06,303.6666666666667,1822.0,0.0,-7.0
261,261.0,6,303.6666666666667,1822,6.510416666666667e-06,303.6666666666667,1822.0,0.0,0.0
262,262.0,6,295.3333333333333,1772,6.510416666666667e-06,295.3333333333333,1772.0,0.0,-50.0
263,263.0,6,287.0,1722,6.510416666666667e-06,287.0,1722.0,0.0,-50.0
264,264.0,6,273.8333333333333,1643,6.510416666666667e-06,273.8333333333333,1643.0,0.0,-79.0
265,265.0,6,280.3333333333333,1682,6.510416666666667e-06,280.3333333333333,1682.0,0.0,39.0
266,266.0,6,279.0,1674,6.510416666666667e-06,279.0,1674.0,0.0,-8.0
267,267.0,6,279.3333333333333,1676,6.510416666666667e-06,279.3333333333333,1676.0,0.0,2.0
268,268.0,6,281.5,1689,6.510416666666667e-06,281.5,1689.0,0.0,13.0
269,269.0,6,272.3333333333333,1634,6.510416666666667e-06,272.3333333333333,1634.0,0.0,-55.0
270,270.0,6,271.0,1626,6.510416666666667e-06,271.0,1626.0,0.0,-8.0
271,271.0,7,235.85714285714286,1651,7.595486111111111e-06,235.85714285714286,1651.0,1.0,25.0
272,272.0,6,285.1666666666667,1711,6.510416666666667e-06,285.1666666666667,1711.0,-1.0,60.0
273,273.0,6,285.0,1710,6.510416666666667e-06,285.0,1710.0,0.0,-1.0
274,274.0,7,250.85714285714286,1756,7.595486111111111e-06,250.85714285714286,1756.0,1.0,46.0
275,275.0,8,213.75,1710,8.680555555555556e-06,213.75,1710.0,1.0,-46.0
276,276.0,8,219.25,1754,8.680555555555556e-06,219.25,1754.0,0.0,44.0
277,277.0,8,230.375,1843,8.680555555555556e-06,230.375,1843.0,0.0,89.0
278,278.0,8,231.875,1855,8.680555555555556e-06,231.875,1855.0,0.0,12.0
279,279.0,8,231.75,1854,8.680555555555556e-06,231.75,1854.0,0.0,-1.0
280,280.0,8,228.625,1829,8.680555555555556e-06,228.625,1829.0,0.0,-25.0
281,281.0,8,233.125,1865,8.680555555555556e-06,233.125,1865.0,0.0,36.0
282,282.0,8,228.625,1829,8.680555555555556e-06,228.625,1829.0,0.0,-36.0
283,283.0,8,225.375,1803,8.680555555555556e-06,225.375,1803.0,0.0,-26.0
284,284.0,9,201.11111111111111,1810,9.765625e-06,201.11111111111111,1810.0,1.0,7.0
285,285.0,9,201.22222222222223,1811,9.765625e-06,201.22222222222223,1811.0,0.0,1.0
286,286.0,8,237.125,1897,8.680555555555556e-06,237.125,1897.0,-1.0,86.0
287,287.0,8,234.625,1877,8.680555555555556e-06,234.625,1877.0,0.0,-20.0
288,288.0,8,240.875,1927,8.680555555555556e-06,240.875,1927.0,0.0,50.0
289,289.0,7,279.0,1953,7.595486111111111e-06,279.0,1953.0,-1.0,26.0
290,290.0,7,267.2857142857143,1871,7.595486111111111e-06,267.2857142857143,1871.0,0.0,-82.0
